"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"659","CZ26954532",2,0,0.001,0.05
"660","CZ00232645",4,0,0.001,0.05
"661","CZ25652362",2,0,0,0
"662","CZ75046962",2,0,0.001,0.05
"663","CZ44738773",2,0,0.001,0.05
"664","CZ00241202",3,0,0,0
"665","CZ00239640",2,0,0.001,0.05
"666","CZ42396182",1,0,0.001,0.05
"667","CZ25160168",1,0,0.001,0.05
"668","CZ72050250",24,0,0.004,0.2
"669","CZ47452081",4,0,0.001,0.05
"670","CZ61384399",1,0,0,0
"671","CZ45193509",1,0,0,0
"672","CZ44739494",3,0,0,0
"673","CZ60838531",3,0,0,0
